A006840
A001040
A000120
A005830
A000990
A006360
A012630
A002380
A006260
A010060
A005490
A010950
A011790
A001740
A000660
A005610
A011780
A000270
A006280
A008060
A000210
A001680
A006650
A003490
A001230
A001520
A014820
A000150
A004000
A004990
A005300
A011170
A002270
A008560
A003850
A003000
A006400
A010140
A000810
A000070
A004490
A001430
A003410
A003620
A002790
A010780
A005850
A012750
A003520
A000670
A007310
A001800
A000100
A003240
A015760
A003300
A000880
A009830
A000720
A005440
A010620
A009540
A008770
A078930
A105560
A033780
A032640
A051910
A064960
A034120
A017670
A073240
A024110
A025860
A019680
A047040
A042660
A069620
A026960
A049770
A042670
A034020
A033920
A028050
A016360
A029780
A055550
A030000
A035720
A036580
A028670
A047050
A103140
A086790
A036460
A071050
A020000
A051600
A097230
A086280
A093370
A069260

