stockCode,stockName
A005430,한국공항
A005440,현대그린푸드
A005450,신한
A005490,POSCO
A005500,삼진제약
A005610,SPC삼립
A005670,푸드웰
A005680,삼영전자
A005690,파미셀
A005710,대원산업
A005720,넥센
A005725,넥센우
A005740,크라운해태홀딩스
A005745,크라운해태홀딩스우
A005750,대림B&Co
A005800,신영와코루
A005810,풍산홀딩스
A005820,원림
A005830,DB손해보험
A005850,에스엘
A005860,한일사료
A005870,휴니드
A005880,대한해운
A005900,동양건설산업
A005930,삼성전자
A005935,삼성전자우
A005940,NH투자증권
A005945,NH투자증권우
A005950,이수화학
A005960,동부건설
A005965,동부건설우
A005990,매일홀딩스
A006040,동원산업
A006050,국영지앤엠
A006060,화승인더
A006090,사조오양
A006110,삼아알미늄
A006120,SK디스커버리
A006125,SK디스커버리우
A006140,피제이전자
A006200,한국전자홀딩스
A006220,제주은행
A006260,LS
A006280,녹십자
A006340,대원전선
A006345,대원전선우
A006360,GS건설
A006370,대구백화점
A006380,카프로
A006390,한일현대시멘트
A006400,삼성SDI
A006405,삼성SDI우
A006490,인스코비
A006570,대림통상
A006580,대양제지
A006620,동구바이오제약
A006650,대한유화
A006660,삼성공조
A006730,서부T&D
A006740,영풍제지
A006800,미래에셋대우
A006805,미래에셋대우우
A00680K,미래에셋대우2우B
A006840,AK홀딩스
A006880,신송홀딩스
A006890,태경화학
A006910,보성파워텍
A006920,모헨즈
A006980,우성사료
A007070,GS리테일
A007110,일신석재
A007120,미래아이앤지
A007150,동양텔레콤
A007160,사조산업
A007210,벽산
A007280,한국특수형강
A007310,오뚜기
A007330,푸른저축은행
A007340,디티알오토모티브
A007370,진양제약
A007390,네이처셀
A007460,에이프로젠 KIC
A007530,영신금속
A007540,샘표
A007570,일양약품
A007575,일양약품우
A007590,동방아그로
A007610,선도전기
A007630,폴루스바이오팜
A007640,애큐온저축은행
A007660,이수페타시스
A007680,대원
A007690,국도화학
A007700,F&F
A007720,대명코퍼레이션
A007770,한일화학
A007810,코리아써키트
A007815,코리아써우
A00781K,코리아써키트2우B
A007820,에스엠코어
A007860,서연
A007980,태평양물산
A008040,사조동아원
A008060,대덕전자
A00806K,대덕전자1우
A008110,대동전자
A008120,엠소닉
A008250,이건산업
A008260,NI스틸
A008290,원풍물산
A008340,대주코레스
A008350,남선알미늄
A008355,남선알미우
A008370,원풍
A008420,문배철강
A008470,부스타
A008490,서흥
A008500,일정실업
A008560,메리츠종금증권
A008600,윌비스
A008690,한양
A008700,아남전자
A008730,율촌화학
A008770,호텔신라
