A001040
A006260
A005490
A008060
A011170
A003000
A010140
A000810
A000070
A005850
A012750
A003520
A007310
A015760
A003300
A105560
A051910
A034120
A025860
A019680
A030000
A035720
A103140
A086790
A069260
