A006840
A005830
A000990
A000660
A006280
A000210
A001680
A006650
A003490
A001520
A014820
A002270
A008560
A001430
A003410
A002790
A010780
A000880
A009540
A008770
A069620
A028050
A016360
A071050
A020000
A051600
A093370
